LAD19CD,Name,Latest infection rate,Mean infection rate over last 3 weeks,upper,lower,Clinically extremely vulnerable,Extent,Percentage of population who are white UK born,Percentage of population who are white not UK born,Percentage of population who are ethnic minority UK born,Percentage of population who are ethnic minority not UK born,Dispersed Accommodation,Subsistence Only,People receiving Section 95 support,LAD19NM,Furlough count,Furlough rate,Homelessness
E07000169,Selby,NA,NA,NA,NA,3255,0.03,96.1,2.6,NA,NA,NA,NA,NA,Selby,13500,0.31,0.313
E07000170,Ashfield,NA,NA,NA,NA,5705,0.2598,92.6,2.7,3.4,1.3,0,3,3,Ashfield,19000,0.33,1.968
E07000171,Bassetlaw,NA,NA,NA,NA,7455,0.2078,85.5,7.5,5.4,1.6,0,1,1,Bassetlaw,15900,0.3,1.537
E07000172,Broxtowe,NA,NA,NA,NA,3760,0.0543,89.6,3.3,NA,6.4,42,9,51,Broxtowe,15300,0.3,0.084
E07000173,Gedling,NA,NA,NA,NA,5320,0.0379,86.3,5.8,4.8,3.1,6,0,6,Gedling,16900,0.31,1.778
E07000174,Mansfield,NA,NA,NA,NA,4575,0.3705,93.8,4.1,NA,NA,NA,NA,NA,Mansfield,16600,0.33,3.396
E07000175,Newark and Sherwood,NA,NA,NA,NA,4820,0.1455,90.8,3.5,4.6,NA,NA,NA,NA,Newark and Sherwood,17200,0.31,1.859
E07000176,Rushcliffe,NA,NA,NA,NA,3625,0,86.6,2.8,6.7,3.9,NA,NA,NA,Rushcliffe,14600,0.28000000000000003,0.344
E07000177,Cherwell,NA,NA,NA,NA,4750,0.0606,81,9.5,5.6,3.9,NA,NA,NA,Cherwell,27500,0.33,1.261
E07000178,Oxford,NA,NA,NA,NA,3720,0.1082,61.5,20.8,7.8,9.8,0,13,13,Oxford,22200,0.28000000000000003,2.201
E07000179,South Oxfordshire,NA,NA,NA,NA,4405,0,86.2,5.8,5.1,2.9,NA,NA,NA,South Oxfordshire,18900,0.27,0.471
E07000180,Vale of White Horse,NA,NA,NA,NA,3920,0.0065,88,6.6,1.6,3.8,NA,NA,NA,Vale of White Horse,17600,0.27,0.227
E07000181,West Oxfordshire,NA,NA,NA,NA,3640,0,86.7,9.4,1.3,2.6,NA,NA,NA,West Oxfordshire,16700,0.31,1.48
E07000187,Mendip,NA,NA,NA,NA,3680,0.0296,94.5,4.7,NA,NA,NA,NA,NA,Mendip,17800,0.35,0.434
E07000188,Sedgemoor,NA,NA,NA,NA,4730,0.1683,90.9,7.3,NA,1.3,NA,NA,NA,Sedgemoor,16700,0.3,1.31
E07000189,South Somerset,NA,NA,NA,NA,7340,0.0571,93.5,4.6,1,0.9,NA,NA,NA,South Somerset,22900,0.31,2.228
E07000192,Cannock Chase,NA,NA,NA,NA,3745,0.143,95.6,3.7,NA,NA,NA,NA,NA,Cannock Chase,17600,0.38,0.873
E07000193,East Staffordshire,NA,NA,NA,NA,5205,0.1611,88.2,5.7,4.6,1.6,0,4,4,East Staffordshire,20100,0.34,2.439
E07000194,Lichfield,NA,NA,NA,NA,4355,0.0352,92.3,1.3,NA,5.5,NA,NA,NA,Lichfield,16300,0.34,1.501
E07000195,Newcastle-under-Lyme,NA,NA,NA,NA,4200,0.12,94.9,2.5,1.8,NA,NA,NA,NA,Newcastle-under-Lyme,17700,0.32,0.146
E07000196,South Staffordshire,NA,NA,NA,NA,3710,0.0195,95.8,1.3,2.4,NA,NA,NA,NA,South Staffordshire,16500,0.34,0.752
E07000197,Stafford,NA,NA,NA,NA,6525,0.0496,87.3,3.5,2.4,6.8,NA,NA,NA,Stafford,18400,0.3,0.843
E07000198,Staffordshire Moorlands,NA,NA,NA,NA,3845,0.0521,95.7,4.3,NA,NA,0,1,1,Staffordshire Moorlands,14800,0.35,1.461
E07000199,Tamworth,NA,NA,NA,NA,2700,0.163,91,6.4,2.1,NA,NA,NA,NA,Tamworth,14400,0.37,2.817
E07000200,Babergh,NA,NA,NA,NA,4060,0.0222,93.9,6.1,NA,NA,NA,NA,NA,Babergh,12400,0.32,1.928
E07000202,Ipswich,NA,NA,NA,NA,6150,0.3129,78.2,9.7,6.5,5.6,57,10,67,Ipswich,19800,0.28999999999999998,2.844
E07000203,Mid Suffolk,NA,NA,NA,NA,4800,0.0208,97.2,2.4,NA,NA,NA,NA,NA,Mid Suffolk,13700,0.31,1.312
E07000207,Elmbridge,NA,NA,NA,NA,3960,0.0023,81.2,12.9,1.6,4.3,0,1,1,Elmbridge,17500,0.28000000000000003,0.917
E07000208,Epsom and Ewell,NA,NA,NA,NA,2560,0.0078,77.4,9.9,5.3,7.3,4,1,5,Epsom and Ewell,10700,0.28000000000000003,1.527
E07000209,Guildford,NA,NA,NA,NA,4575,0.012,78.2,12.3,4.3,5.2,0,2,2,Guildford,19800,0.28999999999999998,0.452
E07000210,Mole Valley,NA,NA,NA,NA,2875,0.0091,88.2,5.2,6,NA,0,3,3,Mole Valley,11500,0.28999999999999998,0.887
E07000211,Reigate and Banstead,NA,NA,NA,NA,4850,0.0152,80.5,8.4,5.6,5.5,NA,NA,NA,Reigate and Banstead,20300,0.28000000000000003,1.454
E07000212,Runnymede,NA,NA,NA,NA,2830,0.0059,73.6,9.8,4.7,11.9,NA,NA,NA,Runnymede,13400,0.33,2.417
E07000213,Spelthorne,NA,NA,NA,NA,3615,0.0169,70.9,5.4,8.7,15.1,10,2,12,Spelthorne,16800,0.34,2.925
E07000214,Surrey Heath,NA,NA,NA,NA,2905,0,75.2,13.7,6.6,4.5,NA,NA,NA,Surrey Heath,13600,0.3,1.592
E07000215,Tandridge,NA,NA,NA,NA,3105,0,85.8,8.5,3.6,2.1,NA,NA,NA,Tandridge,11900,0.3,0.695
E07000216,Waverley,NA,NA,NA,NA,4465,0.0027,91.8,5.4,NA,2.1,NA,NA,NA,Waverley,16200,0.3,0
E07000217,Woking,NA,NA,NA,NA,3135,0.0143,64.3,12,11.6,12.2,0,2,2,Woking,15200,0.3,1.663
E07000218,North Warwickshire,NA,NA,NA,NA,2860,0.0565,93.5,1.5,4.6,NA,NA,NA,NA,North Warwickshire,10600,0.35,3.457
E07000219,Nuneaton and Bedworth,NA,NA,NA,NA,4855,0.2093,81.8,3.8,7.3,7.1,0,1,1,Nuneaton and Bedworth,19900,0.32,2.743
E07000220,Rugby,NA,NA,NA,NA,3365,0.0391,78.2,10.2,5,6.7,NA,NA,NA,Rugby,15900,0.28999999999999998,3.732
