LAD19CD,Name,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
E06000054,Wiltshire,NA,NA,NA,NA,0.2,0.6,1.81,5.62,10.84,17.07,16.66,17.47,32.73,35.94,30.12,36.74,14.05,12.25,10.84,1.61,1.2,1.81,1.81,2.61,2.81,3.81,4.82,3.41,5.82,4.02,3.81,19.07,9.24,10.04,10.64
E06000055,Bedford,NA,NA,NA,NA,NA,NA,0.58,6.99,33.21,43.7,62.93,60.6,61.76,79.83,60.6,55.35,57.68,39.62,38.46,45.45,47.2,20.98,21.56,6.99,15.15,18.65,19.81,12.24,6.99,12.82,17.48,19.23,22.14,31.46,39.62
E06000056,Central Bedfordshire,NA,NA,NA,NA,NA,NA,3.88,7.4,21.16,38.43,42.66,33.5,52.19,43.02,28.21,32.79,26.8,35.26,17.28,17.63,17.63,7.4,5.64,4.94,6.7,4.94,5.64,4.23,8.11,7.76,8.46,11.28,13.05,22.92,19.04
E06000057,Northumberland,NA,NA,NA,NA,NA,NA,0.94,3.12,18.11,49.96,71.81,82.43,68.38,59.32,40.59,33.1,13.74,21.86,9.99,8.12,3.43,2.81,3.12,1.87,1.56,1.87,1.25,1.56,6.24,11.86,9.05,21.23,28.73,84.62,143.63
E06000058,"Bournemouth, Christchurch and Poole",NA,NA,NA,NA,NA,0.76,1.52,1.77,10.61,19.46,30.57,25.52,24,38.91,19.71,11.62,7.58,5.81,2.27,0.76,1.26,1.26,1.26,1.01,2.27,2.02,1.01,2.78,3.79,4.04,6.32,17.69,18.7,20.97,19.96
E07000143,Breckland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07000144,Broadland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07000145,Great Yarmouth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07000146,King's Lynn and West Norfolk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07000147,North Norfolk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07000148,Norwich,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07000149,South Norfolk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07000150,Corby,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07000151,Daventry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07000152,East Northamptonshire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
E07000153,Kettering,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
